Model Name,Max Error (Worst Case),RMSE (Overall Fit),MAE (Average Error),MAPE (%)
Local Lagrange,1.78976188e-01,2.38276669e-02,5.19605041e-03,0.15594967
Linear Interpolation,4.96398085e-01,6.85422683e-02,1.64454646e-02,0.55532850
Natural Spline,3.38549450e-01,4.48833250e-02,9.70234695e-03,0.28992873
Parabolic Spline,2.26990917e-01,2.97868477e-02,6.35352466e-03,0.18874150
Hybrid Clamped Spline,1.77380419e-01,2.30291416e-02,4.87008207e-03,0.14382642
