Mach,P0/P,rho0/rho,T0/T,A/A*
0.0010,1.000000700000,1.000000500000,1.000000200000,578.704050925995
0.0020,1.000002800003,1.000002000001,1.000000800000,289.352546296852
0.0030,1.000006300014,1.000004500006,1.000001800000,192.902276236443
0.0040,1.000011200045,1.000008000019,1.000003200000,144.677314819259
0.0050,1.000017500109,1.000012500047,1.000005000000,115.742476860532
0.0060,1.000025200227,1.000018000097,1.000007200000,96.452700632284
0.0070,1.000034300420,1.000024500180,1.000009800000,82.674388251333
0.0080,1.000044800717,1.000032000307,1.000012800000,72.340740776296
0.0090,1.000056701148,1.000040500492,1.000016200000,64.303536573259
0.0100,1.000070001750,1.000050000750,1.000020000000,57.873842662037
0.0110,1.000084702562,1.000060501098,1.000024200000,52.613247146303
0.0120,1.000100803629,1.000072001555,1.000028800000,48.229475428643
0.0130,1.000118304998,1.000084502142,1.000033800000,44.520183557130
0.0140,1.000137206723,1.000098002881,1.000039200000,41.340840137648
0.0150,1.000157508860,1.000112503797,1.000045000000,38.585455481292
0.0160,1.000179211469,1.000128004915,1.000051200000,36.174537321486
0.0170,1.000202314617,1.000144506264,1.000057800000,34.047297454477
0.0180,1.000226818371,1.000162007873,1.000064800000,32.156456166326
0.0190,1.000252722807,1.000180509774,1.000072200000,30.464687367169
0.0200,1.000280028001,1.000200012000,1.000080000000,28.942130185200
0.0210,1.000308734036,1.000220514586,1.000088200000,27.564611533796
0.0220,1.000338840997,1.000242017569,1.000096800000,26.312353433071
0.0230,1.000370348975,1.000264520988,1.000105800000,25.169017551885
0.0240,1.000403258064,1.000288024884,1.000115200000,24.120988614358
0.0250,1.000437568364,1.000312529297,1.000125000000,23.156829788818
0.0260,1.000473279976,1.000338034274,1.000135200000,22.266863756223
0.0270,1.000510393009,1.000364539859,1.000145800000,21.442846874486
0.0280,1.000548907573,1.000392046100,1.000156800000,20.677713164736
0.0290,1.000588823785,1.000420553048,1.000168200000,19.965371265934
0.0300,1.000630141763,1.000450060752,1.000180000000,19.300541998569
0.0310,1.000672861632,1.000480569266,1.000192200000,18.678627367638
0.0320,1.000716983520,1.000512078646,1.000204800000,18.095604127563
0.0330,1.000762507559,1.000544588947,1.000217800000,17.547936698949
0.0340,1.000809433886,1.000578100229,1.000231200000,17.032505452966
0.0350,1.000857762642,1.000612612551,1.000245000000,16.546547289843
0.0360,1.000907493971,1.000648125977,1.000259200000,16.087606120938
0.0370,1.000958628023,1.000684640568,1.000273800000,15.653491380753
0.0380,1.001011164951,1.000722156393,1.000288800000,15.242243089675
0.0390,1.001065104914,1.000760673517,1.000304200000,14.852102291683
0.0400,1.001120448072,1.000800192010,1.000320000000,14.481485926400
0.0410,1.001177194591,1.000840711944,1.000336200000,14.128965378406
0.0420,1.001235344643,1.000882233391,1.000352800000,13.793248090931
0.0430,1.001294898401,1.000924756426,1.000369800000,13.473161745084
0.0440,1.001355856044,1.000968281125,1.000387200000,13.167640596454
0.0450,1.001418217755,1.001012807568,1.000405000000,12.875713633506
0.0460,1.001481983721,1.001058335833,1.000423200000,12.596494280527
0.0470,1.001547154133,1.001104866003,1.000441800000,12.329171415090
0.0480,1.001613729187,1.001152398162,1.000460800000,12.073001508340
0.0490,1.001681709082,1.001200932395,1.000480200000,11.827301727689
0.0500,1.001751094023,1.001250468789,1.000500000000,11.591443867187
0.0510,1.001821884218,1.001301007434,1.000520200000,11.364848991976
0.0520,1.001894079879,1.001352548421,1.000540800000,11.146982700678
0.0530,1.001967681222,1.001405091841,1.000561800000,10.937350924125
0.0540,1.002042688469,1.001458637791,1.000583200000,10.735496190898
0.0550,1.002119101844,1.001513186366,1.000605000000,10.540994300257
0.0560,1.002196921577,1.001568737664,1.000627200000,10.353451351544
0.0570,1.002276147900,1.001625291786,1.000649800000,10.172501086283
0.0580,1.002356781053,1.001682848832,1.000672800000,9.997802505229
0.0590,1.002438821276,1.001741408908,1.000696200000,9.829037727762
0.0600,1.002522268817,1.001800972117,1.000720000000,9.665910065328
0.0610,1.002607123924,1.001861538567,1.000744200000,9.508142284391
0.0620,1.002693386853,1.001923108367,1.000768800000,9.355475037473
0.0630,1.002781057862,1.001985681628,1.000793800000,9.207665443632
0.0640,1.002870137216,1.002049258463,1.000819200000,9.064485802008
0.0650,1.002960625179,1.002113838985,1.000845000000,8.925722424131
0.0660,1.003052522025,1.002179423312,1.000871200000,8.791174572369
0.0670,1.003145828029,1.002246011560,1.000897800000,8.660653493454
0.0680,1.003240543471,1.002313603850,1.000924800000,8.533981537276
0.0690,1.003336668635,1.002382200304,1.000952200000,8.410991352304
0.0700,1.003434203809,1.002451801044,1.000980000000,8.291525149977
0.0710,1.003533149286,1.002522406196,1.001008200000,8.175434031254
0.0720,1.003633505363,1.002594015887,1.001036800000,8.062577369287
0.0730,1.003735272341,1.002666630246,1.001065800000,7.952822242830
0.0740,1.003838450525,1.002740249404,1.001095200000,7.846042915593
0.0750,1.003943040224,1.002814873492,1.001125000000,7.742120357244
0.0760,1.004049041754,1.002890502645,1.001155200000,7.640941802226
0.0770,1.004156455430,1.002967136999,1.001185800000,7.542400342956
0.0780,1.004265281576,1.003044776692,1.001216800000,7.446394554311
0.0790,1.004375520519,1.003123421864,1.001248200000,7.352828146642
0.0800,1.004487172588,1.003203072655,1.001280000000,7.261609644800
0.0810,1.004600238120,1.003283729210,1.001312200000,7.172652090949
0.0820,1.004714717452,1.003365391673,1.001344800000,7.085872769120
0.0830,1.004830610929,1.003448060191,1.001377800000,7.001192949674
0.0840,1.004947918898,1.003531734913,1.001411200000,6.918537652025
0.0850,1.005066641711,1.003616415990,1.001445000000,6.837835424103
0.0860,1.005186779724,1.003702103572,1.001479200000,6.759018137210
0.0870,1.005308333298,1.003788797816,1.001513800000,6.682020795021
0.0880,1.005431302797,1.003876498876,1.001548800000,6.606781355610
0.0890,1.005555688591,1.003965206910,1.001584200000,6.533240565470
0.0900,1.005681491052,1.004054922078,1.001620000000,6.461341804601
0.0910,1.005808710558,1.004145644541,1.001656200000,6.391030941813
0.0920,1.005937347490,1.004237374463,1.001692800000,6.322256199466
0.0930,1.006067402235,1.004330112007,1.001729800000,6.254968026932
0.0940,1.006198875182,1.004423857341,1.001767200000,6.189118982137
0.0950,1.006331766726,1.004518610634,1.001805000000,6.124663620588
0.0960,1.006466077266,1.004614372056,1.001843200000,6.061558391329
0.0970,1.006601807205,1.004711141778,1.001881800000,5.999761539337
0.0980,1.006738956949,1.004808919975,1.001920800000,5.939233013893
0.0990,1.006877526910,1.004907706823,1.001960200000,5.879934382505
0.1000,1.007017517504,1.005007502499,1.002000000000,5.821828750000
0.1010,1.007158929152,1.005108307183,1.002040200000,5.764880682414
0.1020,1.007301762276,1.005210121056,1.002080800000,5.709056135367
0.1030,1.007446017306,1.005312944300,1.002121800000,5.654322386609
0.1040,1.007591694674,1.005416777102,1.002163200000,5.600647972452
0.1050,1.007738794818,1.005521619646,1.002205000000,5.548002627843
0.1060,1.007887318178,1.005627472123,1.002247200000,5.496357229820
0.1070,1.008037265200,1.005734334721,1.002289800000,5.445683744148
0.1080,1.008188636335,1.005842207633,1.002332800000,5.395955174911
0.1090,1.008341432036,1.005951091054,1.002376200000,5.347145516884
0.1100,1.008495652762,1.006060985178,1.002420000000,5.299229710503
0.1110,1.008651298975,1.006171890203,1.002464200000,5.252183599267
0.1120,1.008808371142,1.006283806328,1.002508800000,5.205983889421
0.1130,1.008966869734,1.006396733755,1.002553800000,5.160608111782
0.1140,1.009126795227,1.006510672687,1.002599200000,5.116034585576
0.1150,1.009288148101,1.006625623328,1.002645000000,5.072242384156
0.1160,1.009450928840,1.006741585884,1.002691200000,5.029211302500
0.1170,1.009615137932,1.006858560565,1.002737800000,4.986921826368
0.1180,1.009780775869,1.006976547580,1.002784800000,4.945355103036
0.1190,1.009947843150,1.007095547141,1.002832200000,4.904492913499
0.1200,1.010116340274,1.007215559462,1.002880000000,4.864317646064
0.1210,1.010286267747,1.007336584759,1.002928200000,4.824812271260
0.1220,1.010457626079,1.007458623249,1.002976800000,4.785960317970
0.1230,1.010630415785,1.007581675152,1.003025800000,4.747745850739
0.1240,1.010804637382,1.007705740688,1.003075200000,4.710153448173
0.1250,1.010980291393,1.007830820080,1.003125000000,4.673168182373
0.1260,1.011157378345,1.007956913553,1.003175200000,4.636775599359
0.1270,1.011335898770,1.008084021334,1.003225800000,4.600961700404
0.1280,1.011515853202,1.008212143650,1.003276800000,4.565712924258
0.1290,1.011697242183,1.008341280732,1.003328200000,4.531016130185
