Mach,A/A*,P0/P,T0/T,rho0/rho
0.1000000000000000,5.8218287500000008,0.9930313848742520,0.9980039920159680,0.9950174476440006
0.1292929292929293,4.5209550973129060,0.9883858260061819,0.9966678083111175,0.9916903282760083
0.1585858585858586,3.7044927105260550,0.9825927817340168,0.9949952783154377,0.9875351201641692
0.1878787878787879,3.1458944502224977,0.9756785542227054,0.9929898020220884,0.9825665401959507
0.2171717171717172,2.7408490558622134,0.9676742639248767,0.9906554336454927,0.9768020555481656
0.2464646464646465,2.4346410223913959,0.9586155669170188,0.9879968613131034,0.9702617533045244
0.2757575757575758,2.1958085851115099,0.9485423354063330,0.9850193838066070,0.9629681923016494
0.3050505050505050,2.0049788989778388,0.9374983060813316,0.9817288845652707,0.9549462390489556
0.3343434343434343,1.8495723444448020,0.9255307013467068,0.9781318031856300,0.9462228897295751
0.3636363636363636,1.7210664246108385,0.9126898287454034,0.9742351046698872,0.9368270804147034
0.3929292929292929,1.6134835286401803,0.8990286640259196,0.9700462466900550,0.9267894877110672
0.4222222222222222,1.5225081957816318,0.8846024233613280,0.9655731451459089,0.9161423221103095
0.4515151515151515,1.4449479993999783,0.8694681301719347,0.9608241383022088,0.9049191163205978
0.4808080808080808,1.3783915071911679,0.8536841818517135,0.9558079497943858,0.8931545108359463
0.5101010101010101,1.3209840968578348,0.8373099214580614,0.9505336507921114,0.8808840389399188
0.5393939393939393,1.2712768245140231,0.8204052191048974,0.9450106216069868,0.8681439132502041
0.5686868686868687,1.2281220053146056,0.8030300674122154,0.9392485130242268,0.8549708157924996
0.5979797979797979,1.1905994884350473,0.7852441949233288,0.9332572076289232,0.8414016934499299
0.6272727272727272,1.1579635926605951,0.7671067009171171,0.9270467813855136,0.8274735604719334
0.6565656565656565,1.1296042501176220,0.7486757145298464,0.9206274657148226,0.8132233095484893
0.6858585858585858,1.1050181103520711,0.7300080805722376,0.9140096102967413,0.7986875327659126
0.7151515151515151,1.0837867488927440,0.7111590738948109,0.9072036468087092,0.7839023535635812
0.7444444444444444,1.0655600234332026,0.6921821436292932,0.9002200537909266,0.7689032706108215
0.7737373737373736,1.0500432134461464,0.6731286881262921,0.8930693228090688,0.7537250143236660
0.8030303030303030,1.0369869771462465,0.6540478609282989,0.8857619260645003,0.7384014165457274
0.8323232323232322,1.0261794317216619,0.6349864076697814,0.8783082855809400,0.7229652937291625
0.8616161616161615,1.0174398515311400,0.6159885333885210,0.8707187440754969,0.7074483437732343
0.8909090909090909,1.0106136118777944,0.5970957993688375,0.8630035376012781,0.6918810565116196
0.9202020202020201,1.0055681008051534,0.5783470483207820,0.8551727700285896,0.6762926376870572
0.9494949494949494,1.0021893898638692,0.5597783564313038,0.8472363894123546,0.6607109461145402
0.9787878787878787,1.0003795048490236,0.5414230106040832,0.8392041662749353,0.6451624436129231
1.0080808080808081,1.0000541744699432,0.5233115090332020,0.8310856738162139,0.6296721571799432
1.0373737373737373,1.0011409624828898,0.5054715831303731,0.8228902700467103,0.6142636527974510
1.0666666666666667,1.0035777095717120,0.4879282387432959,0.8146270818247647,0.5989590201817703
1.0959595959595960,1.0073112270235902,0.4707038145606571,0.8063049907654591,0.5837788677381226
1.1252525252525252,1.0122961963162445,0.4538180555935190,0.7979326209770390,0.5687423269371236
1.1545454545454545,1.0184942380461155,0.4372881996493188,0.7895183285701236,0.5538670653045892
1.1838383838383839,1.0258731208663012,0.4211290747691496,0.7810701928759640,0.5391693072021070
1.2131313131313131,1.0344060867689762,0.4053532056771223,0.7725960093023682,0.5246638615738444
1.2424242424242424,1.0440712735107265,0.3899709273882052,0.7641032837496492,0.5103641558435904
1.2717171717171718,1.0548512185175607,0.3749905042339038,0.7555992285039691,0.4962822751637233
1.3010101010101009,1.0667324314277065,0.3604182526896356,0.7470907595216912,0.4824290062433453
1.3303030303030303,1.0797050246924653,0.3462586665201383,0.7385844950157416,0.4688138850149547
1.3595959595959597,1.0937623934789946,0.3325145428964681,0.7300867552534066,0.4554452474364575
1.3888888888888888,1.1089009375962402,0.3191871082772333,0.7216035634743876,0.4423302827669066
1.4181818181818182,1.1251198193680316,0.3062761429851615,0.7131406478381820,0.4294750886989945
1.4474747474747474,1.1424207523610359,0.2937801035457709,0.7047034443108842,0.4168847277780127
1.4767676767676767,1.1608078166833402,0.2816962419860070,0.6962971004031859,0.4045632845848313
1.5060606060606061,1.1802872972360641,0.2700207214158122,0.6879264796736361,0.3925139232086466
